v1,v2
ham,Hey are we still meeting today?
spam,Congratulations! You have won a free gift card. Click now to claim.
ham,Can you send me the report by evening?
spam,You have been selected for a cash prize of 10000. Call now.
ham,Let's catch up tomorrow for lunch.
spam,URGENT! Your account has been compromised. Verify immediately.
ham,Please find the attached document for your reference.
spam,Win a brand new phone by participating in our survey.
ham,I'll call you once I reach home.
spam,Exclusive offer! Buy one get one free. Limited time only.
ham,Are you attending the workshop today?
spam,You are pre-approved for a personal loan. Apply now.
ham,Thanks for your help yesterday.
spam,Claim your free vacation package today.
ham,Meeting has been rescheduled to 3 PM.
spam,Get cheap medicines without prescription. Order now.
ham,Can we discuss the project tomorrow?
spam,You won lottery worth $1,000,000. Contact immediately.
ham,Please remind me about the deadline.
spam,Lowest price guaranteed! Shop now.
ham,I'll share the notes shortly.
spam,Your mobile number has won a prize. Reply YES.
ham,Did you complete the assignment?
spam,Limited offer on electronics. Don't miss out.
ham,See you at the office tomorrow.
spam,Act now! Your reward is waiting.
ham,Thank you for the update.
spam,Free entry passes available. Register today.
ham,Let's finalize the plan in the meeting.
spam,Your email has been selected for a lucky draw.
ham,Please review the attached presentation.
spam,Get rich fast with this simple trick.
ham,I'll be late today.
spam,You have received a bonus reward.
ham,Can you help me with this task?
spam,Final notice: account will be suspended.
ham,Good morning! Hope you are doing well.
spam,Cheap flights available. Book now.
ham,Let's start the call.
spam,You are the lucky winner of today's draw.
ham,Please confirm your availability.
spam,Exclusive deal just for you.
ham,Meeting notes have been shared.
spam,Earn money from home easily.
ham,Thanks, noted.
spam,Your prize is waiting. Claim immediately.
